SKU_ID,Product_Name,Brand,Category
SKU_1,Samsung Laptop SKU_1,Samsung,Electronics
SKU_2,Philips Microwave,Philips,Home & Kitchen
SKU_3,Nilkamal Bookshelf,Nilkamal,Furniture
SKU_4,Levis Shirt,Levis,Fashion
SKU_5,Bata Slippers SKU_5,Bata,Footwear
SKU_6,Nivia Basketball SKU_6,Nivia,Sports & Fitness
SKU_7,Lakme Body Lotion SKU_7,Lakme,Beauty & Personal Care
SKU_8,Funskool Soft Toy SKU_8,Funskool,Toys
SKU_9,Samsung Router SKU_9,Samsung,Electronics
SKU_10,Havells Coffee Maker,Havells,Home & Kitchen
SKU_11,Godrej Study Table,Godrej,Furniture
SKU_12,Zara Jacket,Zara,Fashion
SKU_13,Nike Slippers SKU_13,Nike,Footwear
SKU_14,Decathlon Basketball,Decathlon,Sports & Fitness
SKU_15,Cetaphil Body Lotion,Cetaphil,Beauty & Personal Care
SKU_16,Lego Soft Toy,Lego,Toys
SKU_17,Samsung Speaker,Samsung,Electronics
SKU_18,Butterfly Blender,Butterfly,Home & Kitchen
SKU_19,Durian Office Chair,Durian,Furniture
SKU_20,Adidas Jeans,Adidas,Fashion
SKU_21,Puma Slippers SKU_21,Puma,Footwear
SKU_22,Yonex Basketball,Yonex,Sports & Fitness
SKU_23,L'Oreal Body Lotion,L'Oreal,Beauty & Personal Care
SKU_24,Mattel Soft Toy,Mattel,Toys
SKU_25,Samsung Tablet,Samsung,Electronics
SKU_26,Philips Toaster,Philips,Home & Kitchen
SKU_27,IKEA Cabinet,IKEA,Furniture
SKU_28,Levis T-Shirt,Levis,Fashion
SKU_29,Bata Slippers SKU_29,Bata,Footwear
SKU_30,SG Basketball,SG,Sports & Fitness
SKU_31,Nivea Body Lotion,Nivea,Beauty & Personal Care
SKU_32,Hot Wheels Soft Toy,Hot Wheels,Toys
SKU_33,Samsung Keyboard,Samsung,Electronics
SKU_34,Havells Rice Cooker,Havells,Home & Kitchen
SKU_35,Urban Ladder Bed,Urban Ladder,Furniture
SKU_36,Zara Belt,Zara,Fashion
SKU_37,Nike Slippers SKU_37,Nike,Footwear
SKU_38,Cosco Basketball,Cosco,Sports & Fitness
SKU_39,Dove Body Lotion,Dove,Beauty & Personal Care
SKU_40,Hasbro Soft Toy,Hasbro,Toys
SKU_41,Samsung Laptop SKU_41,Samsung,Electronics
SKU_42,Butterfly Microwave,Butterfly,Home & Kitchen
SKU_43,Nilkamal Sofa,Nilkamal,Furniture
SKU_44,Adidas Cap,Adidas,Fashion
SKU_45,Puma Slippers SKU_45,Puma,Footwear
SKU_46,Nivia Basketball SKU_46,Nivia,Sports & Fitness
SKU_47,Lakme Body Lotion SKU_47,Lakme,Beauty & Personal Care
SKU_48,Funskool Soft Toy SKU_48,Funskool,Toys
SKU_49,Samsung Router SKU_49,Samsung,Electronics
SKU_50,Philips Coffee Maker,Philips,Home & Kitchen
